prompt,chosen,rejected
Can you skip a significant part of Fia's questline by progressing through the main events of the game?,"Note that a big chunk of her questline can be skipped, if one so desires (main Quest spoilers ahead!): Once the player progressed through the main events of the game up to the point of burning the Erdtree, Fia will relocate to the Deeproot Depths even if the player never interacted with her. This way, all of the steps mentioned above are skipped. The arena is large","Note that a big chunk of her questline can be skipped, if one so desires (main Quest spoilers ahead!): Once the player progressed through the main events of the game up to the point of burning the Erdtree, Fia will relocate to the Deeproot Depths even if the player never interacted with her. This way, all of the steps mentioned above are skipped. The arena is large"
How can you quickly access the Banished Knight?,"Quicker, but risker, method can be done from Castle Sol Rooftop (unlocked after beating boss of the arena). From the boss fight arena, player can make Banished Knight teleport with an arrow. Alternatively, from Church of the Eclipse site of grace go for ladder on the right of Banished Knight at the front of the Church. Then turn left, go straight and go left","Quicker, but risker, method can be done from Castle Sol Rooftop (unlocked after beating boss of the arena). From the boss fight arena, player can make Banished Knight teleport with an arrow. Alternatively, from Church of the Eclipse site of grace go for ladder on the right of Banished Knight at the front of the Church. Then turn left, go straight and go left"
How do I access the Bestial Sanctum Site of Grace from Roundtable Hold?,"Once the player is outside, head to the left ignoring all the enemies and follow the path without entering the swamp, past a few crumbling ruins. To reach the Bestial Sanctum Site of Grace, use the way-gate directly north of the Third Church of Marika in eastern Limgrave. This will teleport you directly in front of the Bestial Sanctum doors","Once the player is outside, head to the left ignoring all the enemies and follow the path without entering the swamp, past a few crumbling ruins. To reach the Bestial Sanctum Site of Grace, use the way-gate directly north of the Third Church of Marika in eastern Limgrave. This will teleport you directly in front of the Bestial Sanctum doors"
How do I access the Giant-Conquering Hero's Grave?,"The Giant-Conquering Hero's Grave is found just northeast of the Zamor Ruins. However, it is high atop a plateau and reaching it will require some legwork and circling around most of the region's northeastern sections. Ride past the ruins and around the lower cliffs of the plateau towards the east until you reach a very narrow pathway/bridge heading northeast","Once you are able to get up the hill in the west, follow it down to the Guardians' Garrison in the southwest. From here, head south and cross the giant chain bridge to find the Giants' Gravepost site of grace. From here, ride southwest, keeping close to the cliff edges and watching out for Fingercreepers littering the area. At the end of the path, there should be a small gap you can jump across to finally get to the plateau where the Hero's Grave can be accessed. Watch out for the large Fingercreeper that pops out from the gap as you approach"
How do I access the Hidden Path to the Haligtree?,"You can walk along the invisible pathway to get to it but note that the pathway is not completely straight so adjust slightly to the left as you approach the central pillars so that you are right in the middle of them. If you are having trouble finding your way, consider using Rainbow Stones or shoot arrows and bolts to mark safe sections to walk on","Walk to the ledge and drop a Rainbow Stone or Glowstone, etc. , to ensure solid landing. Walk forward to drop to the invisible floor. Once on the invisible floor, you can move straight ahead into the alcove. Again, refer to the image below"
How do I access the Leyndell Royal Capital?,"This transports you to a secluded region of the Volcano Manor , but requires you to defeat two Abductor Virgins in a relatively small arena in order to let you access Altus. The Leyndell, Royal Capital northeastern gate is accessible to players who have gathered two Great Runes, but cannot be accessed without visiting the Roundtable Hold","For a Step by Step guide on how to thoroughly explore the capital, view the Leyndell Royal Capital (Legacy Dungeon) guide which guides you through the castle areas, Enemies and Bosses found in the Capital Via Deeproot Depths (long method) A longer method of reaching the Leyndell Royal Capital can be performed by progressing through Fia 's questline"
How do I effectively take down Preceptor Miriam during combat?,"Go up and get her to spawn a second time and you can use the corner of the wall before the bridge to block her shots while firing at her when she gets close since Glintstone Blade fires over the railing. There is a chance she won't come close enough to hit her. The same can be done at the top level. She will generally attempt to maintain a safe distance from you, but within range of your spell","Go up and get her to spawn a second time and you can use the corner of the wall before the bridge to block her shots while firing at her when she gets close since Glintstone Blade fires over the railing. There is a chance she won't come close enough to hit her. The same can be done at the top level. She will generally attempt to maintain a safe distance from you, but within range of your spell"
How do I obtain the Regalia of Eochaid in Elden Ring?,"Jump there, then turn the camera South. While it doesn’t look feasible, sprint jump with torrent towards the protrusion across the before mentioned cragged vertical line. When you land, quickly double jump (facing East) to get on top of the ledge. You’ll notice above you several steps in the cliff face just slightly to the right- climb those. Then, jump due North onto the final platform. You will now be above the cliff and able to drop down to the weapon","Jump there, then turn the camera South. While it doesn’t look feasible, sprint jump with torrent towards the protrusion across the before mentioned cragged vertical line. When you land, quickly double jump (facing East) to get on top of the ledge. You’ll notice above you several steps in the cliff face just slightly to the right- climb those. Then, jump due North onto the final platform"
How do I reach Rya's location in Elden Ring?,"You can also reach this room by taking the wooden elevator to the top, going straight ahead toward the man-serpent with the lava sword, and jumping out the windows on the left. To clarify - Turn NW from the Temple of Eiglay grace to find the door which leads to the lift if you have access","You can also reach this room by taking the wooden elevator to the top, going straight ahead toward the man-serpent with the lava sword, and jumping out the windows on the left. To clarify - Turn NW from the Temple of Eiglay grace to find the door which leads to the lift if you have access"
How do you access Roundtable Hold in Elden Ring?,"The player can access Roundtable Hold as soon as they set foot in Limgrave (not required) by performing either of the following. Acquiring the Spectral Steed Whistle first to summon Torrent is recommended. Reaching Liurnia of the Lakes and activating the Lake-Facing Cliffs Site of Grace. This area can be reached before facing Margit, the Fell Omen","Open them, step inside and the Site of Grace is located a bit further inside, to the right between the pillars. D, Hunter of the Dead will mark the way-gate on the map if the player shows him any aquired Deathroot. This area can be reached before facing Margit, the Fell Omen"
